Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,460.000000,462.000000,388.000000,398.000000,398.000000,2419609900
2017-05-08,400.000000,408.000000,300.000000,348.000000,348.000000,2438170300
2017-05-15,352.000000,412.000000,330.000000,396.000000,396.000000,3950501900
2017-05-22,398.000000,410.000000,344.000000,366.000000,366.000000,3237419400
2017-05-29,366.000000,390.000000,356.000000,372.000000,372.000000,2124336200
2017-06-05,374.000000,376.000000,322.000000,340.000000,340.000000,2419461300
2017-06-12,344.000000,348.000000,328.000000,338.000000,338.000000,1188697200
2017-06-19,342.000000,364.000000,336.000000,340.000000,340.000000,1417684700
2017-06-26,340.000000,340.000000,340.000000,340.000000,340.000000,0
2017-07-03,360.000000,394.000000,328.000000,332.000000,332.000000,2285584300
2017-07-10,340.000000,346.000000,320.000000,346.000000,346.000000,836327600
2017-07-17,350.000000,358.000000,334.000000,334.000000,334.000000,1299647200
2017-07-24,336.000000,360.000000,322.000000,358.000000,358.000000,1087841100
2017-07-31,360.000000,362.000000,328.000000,330.000000,330.000000,1051188300
2017-08-07,330.000000,334.000000,270.000000,276.000000,276.000000,2446200700
2017-08-14,280.000000,302.000000,276.000000,288.000000,288.000000,1016803600
2017-08-21,290.000000,292.000000,262.000000,264.000000,264.000000,1823083500
2017-08-28,266.000000,268.000000,226.000000,228.000000,228.000000,1413988000
2017-09-04,228.000000,272.000000,226.000000,244.000000,244.000000,2563700000
2017-09-11,246.000000,258.000000,187.000000,200.000000,200.000000,2210710200
2017-09-18,202.000000,226.000000,192.000000,206.000000,206.000000,1531306200
2017-09-25,206.000000,214.000000,166.000000,199.000000,199.000000,3294399800
2017-10-02,200.000000,222.000000,171.000000,191.000000,191.000000,3574944000
2017-10-09,193.000000,216.000000,188.000000,194.000000,194.000000,2589751800
2017-10-16,196.000000,214.000000,193.000000,212.000000,212.000000,1970041500
2017-10-23,214.000000,264.000000,214.000000,264.000000,264.000000,4010207500
2017-10-30,266.000000,282.000000,254.000000,266.000000,266.000000,2942618400
2017-11-06,268.000000,272.000000,246.000000,252.000000,252.000000,1485715600
2017-11-13,254.000000,286.000000,248.000000,272.000000,272.000000,3411835900
2017-11-20,272.000000,310.000000,272.000000,300.000000,300.000000,2867684100
2017-11-27,302.000000,314.000000,280.000000,300.000000,300.000000,3046995600
2017-12-04,300.000000,300.000000,246.000000,254.000000,254.000000,3424579100
2017-12-11,256.000000,274.000000,210.000000,258.000000,258.000000,5184116900
2017-12-18,264.000000,292.000000,262.000000,274.000000,274.000000,3412438800
2017-12-25,274.000000,288.000000,270.000000,270.000000,270.000000,845742700
2018-01-01,270.000000,300.000000,262.000000,294.000000,294.000000,2156892000
2018-01-08,296.000000,308.000000,282.000000,296.000000,296.000000,4425195300
2018-01-15,298.000000,298.000000,282.000000,288.000000,288.000000,2294507000
2018-01-22,290.000000,356.000000,288.000000,338.000000,338.000000,7369310000
2018-01-29,340.000000,350.000000,314.000000,328.000000,328.000000,4349801700
2018-02-05,312.000000,328.000000,292.000000,300.000000,300.000000,3344267300
2018-02-12,306.000000,344.000000,306.000000,326.000000,326.000000,2995571200
2018-02-19,330.000000,350.000000,322.000000,324.000000,324.000000,4702264500
2018-02-26,328.000000,330.000000,304.000000,306.000000,306.000000,1875213400
2018-03-05,306.000000,320.000000,282.000000,296.000000,296.000000,2656551600
2018-03-12,302.000000,306.000000,274.000000,284.000000,284.000000,1883886100
2018-03-19,286.000000,300.000000,274.000000,288.000000,288.000000,2450687200
2018-03-26,288.000000,292.000000,280.000000,286.000000,286.000000,978880000
2018-04-02,290.000000,296.000000,274.000000,278.000000,278.000000,1357898100
2018-04-09,278.000000,290.000000,276.000000,278.000000,278.000000,1118962500
2018-04-16,278.000000,286.000000,276.000000,278.000000,278.000000,242645800
2018-04-23,272.000000,276.000000,258.000000,262.000000,262.000000,331369700
2018-04-30,236.000000,278.000000,234.000000,278.000000,278.000000,860465500
